# Pathway	W10	W100	W105	W111	W113	W117	W12	W123	W128	W139	W149	W154	W157	W16	W164	W169	W173	W183	W189	W193	W196	W209	W21	W215	W226	W231	W234	W250	W26	W28	W32	W38	W4	W43	W48	W53	W64	W69	W74	W79	W85	W89	W91
PWY-6703: preQ0 biosynthesis|g__Nostoc.s__Nostoc_punctiforme	0	0	2.2145328720	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PWY-6703: preQ0 biosynthesis|g__Oscillatoria.s__Oscillatoria_acuminata	0	5.7457603452	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.5323118920	0	0	0	0	0	0	0	0	0	0	0	0	0
PWY-6703: preQ0 biosynthesis|g__Oscillatoria.s__Oscillatoria_nigro_viridis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11.4779733925	0	0	0	0
PWY-6703: preQ0 biosynthesis|g__Polaromonas.s__Polaromonas_naphthalenivorans	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	40.7042035610	7.1525424215	0	0	0	0	9.0711258733	0	0	0	0	0	0
PWY-6703: preQ0 biosynthesis|g__Pseudomonas.s__Pseudomonas_mandelii	0	0	0	0	0	0	0	0	5.8775355947	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PWY-6703: preQ0 biosynthesis|g__Psychrobacter.s__Psychrobacter_arcticus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.3129081366	0	3.7378135401	0	0	0	0	0
PWY-6703: preQ0 biosynthesis|g__Psychrobacter.s__Psychrobacter_cryohalolentis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.6399010037	0	0	0	0	0	0	0
PWY-6703: preQ0 biosynthesis|g__Rhodanobacter.s__Rhodanobacter_fulvus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.9795428737	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PWY-6703: preQ0 biosynthesis|g__Rhodopseudomonas.s__Rhodopseudomonas_palustris	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.6912702954
PWY-6703: preQ0 biosynthesis|g__Stenotrophomonas.s__Stenotrophomonas_maltophilia	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.1764451696	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PWY-6703: preQ0 biosynthesis|g__Sulfuricella.s__Sulfuricella_denitrificans	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.4665105397	0	0	0	0	0	0	0	0	0	0	0
PWY-6703: preQ0 biosynthesis|g__Sulfurovum.s__Sulfurovum_sp_AR	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12.9099378148	3.2186482058	5.5779768984	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PWY-6703: preQ0 biosynthesis|g__Thauera.s__Thauera_phenylacetica	6.0554128725	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PWY-6703: preQ0 biosynthesis|g__Thiocapsa.s__Thiocapsa_marina	0	0	0	0	0	0	0	2.8556791649	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	17.4689976980	0	0	0	0	0
PWY-6703: preQ0 biosynthesis|unclassified	3708.9534986365	5781.1109720662	2503.7347209447	2629.5303665940	4311.3000192764	2485.4250992705	3157.9670180010	2593.5607024058	3043.5788417587	2372.0743811802	3477.5771187939	2622.8092477282	3417.2024589946	3026.9757851141	3224.6971778836	4834.5291263376	4480.2837424502	3685.6664907721	3972.4689826758	3012.4026310051	3439.0940357870	7610.2588219950	2375.6009317293	2447.5207628939	3335.8263885093	2614.3001859556	2616.7890222700	2326.5661225012	2751.5108137304	2490.9746745767	3383.0405630077	5955.3500154981	3153.7056831034	2110.7993206606	3307.7536277580	2045.1328159161	3331.1868887476	3373.3435369689	3848.4829620971	2272.1005350962	2999.4423529536	2055.1120947708	2629.2839275805
PWY-6708: ubiquinol-8 biosynthesis (prokaryotic)	520.8104684536	906.7753001996	247.2534927751	288.7433107205	461.3321130095	342.2024902915	304.9989154085	392.0166552295	354.3199865181	180.7609220350	267.9610680494	310.0087034344	401.1609052286	378.2360431311	419.9725220999	809.1209473168	481.9219112144	401.0235307057	425.5776614508	364.0898227231	335.9431731666	886.7765137031	267.2719709367	255.9817861216	327.8225925738	214.9507500356	334.0344714410	265.8865410956	287.4101012340	394.6057503928	619.8396889715	519.9714143411	452.5009302419	278.3075944053	505.4594370095	285.7682580863	378.2816015249	544.5306516245	481.5350233613	218.3425504406	318.6467593714	152.7902982148	318.1842013954
PWY-6708: ubiquinol-8 biosynthesis (prokaryotic)|g__Albidiferax.s__Albidiferax_ferrireducens	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.2866207336	19.2988972657	0	0	0	0	0	0	0	0	0	0	0
PWY-6708: ubiquinol-8 biosynthesis (prokaryotic)|g__Enterobacter.s__Enterobacter_cloacae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.7887285291	0	0	0	0	0	0	0	0	0	0	0	1.7703292812	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PWY-6708: ubiquinol-8 biosynthesis (prokaryotic)|g__Pseudomonas.s__Pseudomonas_mandelii	0	0	0	0	0	0	0	0	12.0714119316	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.8702075930	0	6.3206554863	0	0	0	0	0	0	0	4.3948868631	0	0	0	0
PWY-6708: ubiquinol-8 biosynthesis (prokaryotic)|g__Pseudomonas.s__Pseudomonas_putida	2.3263763746	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.7317014209	0	0	0	0	0	0	0	0	0	0	0	6.9255883466	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PWY-6708: ubiquinol-8 biosynthesis (prokaryotic)|g__Thiobacillus.s__Thiobacillus_denitrificans	14.9809837924	81.5982621905	0	0	0	2.2665047121	0	0	0	0	0	0	18.0748661872	0	2.5682061226	10.5125891353	2.8424715706	10.5545274592	0	0	0	7.2723027309	0	0	0	0	0	2.5576537789	0	26.7418090652	11.6383675126	0	47.8919701002	9.2823603552	43.0446556170	43.0688442562	0	10.8471364894	2.6548779834	0	0	0	0
PWY-6708: ubiquinol-8 biosynthesis (prokaryotic)|unclassified	490.4829480034	790.8460409774	243.6216900768	288.4954973114	459.3866555101	339.5750958716	295.5680337603	389.9170340869	326.4549532833	173.0059952632	267.8620091682	309.7447573283	375.5686218412	367.3078828341	412.2956895802	753.1730271461	454.8362498604	382.4533918856	422.7006261972	363.4018925363	335.7126229154	871.0823081230	267.2719709367	242.4360837821	320.9994743432	214.9507500356	321.3739075603	249.5008490509	284.7089836198	358.6277338946	574.0561350411	479.2653701753	397.3321587293	262.2446685244	444.5608446268	227.7497940006	372.8524158558	526.4874770518	465.6782895364	209.5068455787	303.5079703583	149.5835028349	306.3632247173
PWY-6713: L-rhamnose degradation II	0.9113858551	5.3272953008	3.5667450564	3.2193346792	10.4486129444	1.5656788819	2.6063635562	2.1000499044	3.5765676774	1.7582212604	3.3510074514	1.4560561578	1.8643227066	1.0047801664	0.8624837715	3.2517468165	4.4493173617	2.3931217352	2.4102572350	1.3581481658	3.4236057490	4.3282801737	2.8517970986	1.2808856494	3.4833918811	1.6788529641	3.9482854626	2.0532800712	1.7264428720	0.7518505565	1.7868006029	3.7667353761	1.2740548523	1.5307847946	2.0833434569	2.2281398585	4.6412764511	2.2814185700	6.4071595054	3.1527271907	3.1796144539	2.3064756384	2.3443975845
PWY-6713: L-rhamnose degradation II|unclassified	0.9113858551	5.3272953008	3.5667450564	3.2193346792	10.4486129444	1.5656788819	2.6063635562	2.1000499044	3.5745764243	1.7582212604	3.3510074514	1.4560561578	1.8643227066	1.0047801664	0.8624837715	3.2509536556	4.4493173617	2.3931217352	2.4102572350	1.3581481658	3.4236057490	4.3282801737	2.8517970986	1.2808856494	3.4833918811	1.6788529641	3.9482854626	2.0532800712	1.7263910390	0.7518505565	1.7862920595	3.7667353761	1.2740548523	1.5307847946	2.0833434569	2.2281398585	4.6412764511	2.2814185700	6.4071595054	3.1527271907	3.1796144539	2.3062005806	2.3443975845
PWY-6724: starch degradation II	10.2723198680	0	0	0	7.2124592793	1.4887916713	5.8083559550	0	0	2.2867002590	5.0157350227	7.6210360063	10.4629412050	5.4791672534	6.3283477003	3.9961805792	8.4292831164	6.4084403787	10.0503024425	6.6111015938	10.8896186934	4.1883618319	4.8471796101	3.7668555797	5.2303511622	3.8275459826	17.2678011128	4.5735954147	3.4709068983	3.1489518015	4.9718017550	6.4086750986	5.4814919394	0	5.5627739830	4.0597226508	0	4.6435378406	0	1.6599674053	0	8.4979240193	2.5141271886
PWY-6724: starch degradation II|unclassified	10.2723003076	0	0	0	6.9015873777	1.4887909303	5.6663300656	0	0	2.2867002362	5.0157344687	7.6210332966	10.4629392399	5.4518755378	6.3283338196	3.9961788902	8.4292715464	6.4084403787	10.0503024425	6.6111015938	10.8896186934	4.1883618319	4.8471791828	3.7668555797	5.2303506517	3.8275459826	17.2678011128	4.5735950884	3.4709068983	3.1489497526	4.9717764995	6.4086731557	5.4814898755	0	5.5627720710	4.0597225092	0	4.6435314599	0	1.6599668314	0	8.4979230786	2.5141264629
PWY-6728: methylaspartate cycle	194.2587392443	256.8402055407	150.1311147289	113.9443407980	469.3579979167	61.1035371547	297.1913692361	375.1779205620	164.7396283931	295.6675748211	115.0858046405	150.0399351187	314.9209227499	122.9965274482	160.2245228329	190.1463444807	327.5342292457	273.6498197936	191.4137677658	176.5398692320	223.2704899721	390.6360186550	70.3848762550	234.2553402997	146.5939798856	130.0063604789	145.3378228235	39.9389473696	106.1755684366	411.5125894668	188.8344401718	482.0219154856	220.7304352511	193.1849944456	297.0214035076	179.2458817685	241.8271337084	181.7462970345	343.3076778488	120.2643385396	204.5816387107	109.6333637162	176.1814633748
PWY-6728: methylaspartate cycle|unclassified	193.8836090695	256.7670233403	149.9611583180	113.9441687544	468.8814179181	61.1014422664	296.8399824530	375.0086104718	164.6382758532	295.5174924798	115.0816064982	150.0091373466	314.7820365295	122.8960578171	159.3753965131	188.6888101915	322.8286898253	272.8199609336	191.3764408705	176.4958729600	223.2445920112	390.5739973290	70.3796458102	234.0581124849	146.5421075375	130.0060451976	145.2833691438	39.9317412860	106.1725009300	411.1632499791	188.5869525525	481.6227331237	220.6998651217	193.1407650055	296.9133533804	179.1683103812	241.7177832121	181.7001149151	343.1266452061	120.2359187672	204.5058486877	109.6047563792	176.0448454383
PWY-6731: starch degradation III	70.3553995406	121.4588726412	53.4621326350	58.2547646226	112.1085580778	52.1363137828	61.0520790882	117.0644879226	89.0933013786	56.3845858791	56.9405823803	101.3877426353	97.8631297489	69.6315440384	72.8171962931	78.4390926719	68.1604671092	71.3086945596	96.1355361776	84.4130424369	122.2947044215	164.6678128349	63.3715513565	28.4996372625	73.6499679276	27.7500388154	26.1564376013	46.7991844940	44.3201020164	105.1014679353	80.8755347426	124.9938015814	62.5227653315	77.1107401125	116.7226562411	105.4017369092	56.4786182775	104.9930940563	112.4048016389	52.5235971966	78.1741965464	49.8862454677	50.7666001543
PWY-6731: starch degradation III|unclassified	70.3456384298	121.4538890551	50.2461208319	58.2531393682	112.1037167846	52.1359686459	61.0497436456	113.2804218557	89.0818294753	56.3816100173	56.9405664473	101.3875323297	97.8608721186	62.9688462298	72.8151901258	78.4269206879	68.1075645933	71.3086945596	96.1168782177	84.4118472987	122.2578788961	162.7596147364	63.3710977928	28.4996372625	73.6477920998	27.7500388154	26.1563658233	46.7912623142	44.3189670539	105.0868604209	80.8710137010	124.9898849774	62.5207972542	77.1107401125	116.7222854644	105.4009868993	56.4786001789	104.7314536427	112.3997541331	52.5181594090	78.1629280949	49.8861268445	50.7628103066
PWY-6733: sporopollenin precursors biosynthesis	0	0	0	0	0	0.4502577734	0	0	0	0	0	0	0	0	0.5502692763	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PWY-6733: sporopollenin precursors biosynthesis|unclassified	0	0	0	0	0	0.4502577734	0	0	0	0	0	0	0	0	0.5502447660	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PWY-6737: starch degradation V	1971.2272413767	3993.6515492779	2285.7288930753	1744.1807534892	4369.0666457582	1549.4072343546	2211.7285911074	2207.5825668689	2296.9195438689	1994.0838687880	2132.3268434837	1745.6060236271	2096.5899705352	2180.5221649913	1659.6840785292	2465.2960979493	3111.4834089639	1966.3949670600	2282.5770573758	1600.3990460700	2135.6383020559	5950.3187888712	1756.6260972602	2254.0485551092	1881.9875745687	1863.2384030655	1779.1700472223	1555.1201951832	1910.2998599830	2190.0207785130	2385.0493152038	5000.3754589527	1777.2733918208	1706.3672516110	2595.5294769945	1935.8181826566	2510.1108937425	2579.5008185551	2686.2899567046	1733.1305618848	2659.6497147805	1757.3851578032	2227.3499790346
PWY-6737: starch degradation V|g__Bradyrhizobium.s__Bradyrhizobium_diazoefficiens	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.6257959626
PWY-6737: starch degradation V|g__Bradyrhizobium.s__Bradyrhizobium_japonicum	0	0	0	0	0	0	0	0	0	0	0	0	0	3.1300389203	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.1804306351	0	1.7566974089
PWY-6737: starch degradation V|g__Candidatus_Solibacter.s__Candidatus_Solibacter_usitatus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.2518778167	0
PWY-6737: starch degradation V|g__Clostridium.s__Clostridium_saccharoperbutylacetonicum	0	0	0	0	0	0	0	0	0	0	0	0	0	0.8904719501	1.2586439530	0	13.1481614237	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PWY-6737: starch degradation V|g__Geodermatophilus.s__Geodermatophilus_obscurus	0	0	4.6479543561	0	8.4730259252	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PWY-6737: starch degradation V|g__Gillisia.s__Gillisia_limnaea	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.8410777976	0	0	0	0	0	0	0	0
PWY-6737: starch degradation V|g__Lactococcus.s__Lactococcus_lactis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.9749183672	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PWY-6737: starch degradation V|g__Micromonospora.s__Micromonospora_lupini	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.1351238374	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PWY-6737: starch degradation V|g__Niastella.s__Niastella_koreensis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.7107122463
PWY-6737: starch degradation V|g__Nitrospira.s__Candidatus_Nitrospira_defluvii	2.0439797030	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.6854009596	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PWY-6737: starch degradation V|unclassified	1967.4111986385	3983.1558511094	2272.2933144881	1744.1807534892	4344.4109235607	1546.2128832953	2120.1720841272	2202.3031853876	2285.3964779808	1994.0148082443	2131.9283758838	1741.8817272961	2096.2751174206	2167.8925293209	1650.8745256779	2446.4493809409	3094.6163283618	1966.3949670600	2282.5770573758	1600.3990460700	2135.6383020559	5950.3187888712	1756.4020527153	2254.0485551092	1881.7243369227	1863.2384030655	1774.9278052768	1554.9696372349	1910.2998599830	2179.6283828773	2377.9289990756	4995.6563893832	1774.6267846125	1706.1127540012	2592.9060627422	1935.6896012303	2502.8375678605	2571.6555208715	2632.3513204063	1728.3758230927	2651.4102094880	1752.8096568447	2218.5670204445
PWY-6748: nitrate reduction VII (denitrification)	4.4584896979	9.0188418469	1.8858888720	0.9330373586	6.6892074658	2.6813334158	2.4928505640	3.4473984674	7.8591034520	2.0344265989	2.8393015428	3.4737747105	8.5672767633	2.4053716938	3.9683232081	13.7167150054	7.6708509976	5.2059717533	2.1801678206	2.5892718759	3.7377272713	8.2097388499	3.2478179839	0	2.9729136860	3.0387577135	2.8962097144	1.6904251190	2.2320219927	22.1739657197	3.2218226736	12.4165668181	6.7973690247	1.4263459468	6.3609010055	4.5647907775	1.4268712498	4.7423467546	5.2412753397	1.3821654428	2.9235802519	0.8979206254	1.3429860657
PWY-6748: nitrate reduction VII (denitrification)|unclassified	4.4579270804	9.0188211010	1.8858875105	0.9330373586	6.6892074658	2.6813334158	2.4928464033	3.4473984674	7.8590841911	2.0344064852	2.8392985236	3.4736773477	8.5672098012	2.4053716938	3.9673308325	13.7065248659	7.6708509976	5.2057945015	2.1801636753	2.5892635091	3.7377272713	8.2096944203	3.2478179839	0	2.9728936368	3.0387577135	2.8960654389	1.6904171491	2.2320219927	22.1734967494	3.2213174811	12.4154178544	6.7968415031	1.4263442013	6.3609010055	4.5647907775	1.4268612369	4.7423073295	5.2412632761	1.3821654428	2.9235553797	0.8979152091	1.3429682755
PWY-6749: CMP-legionaminate biosynthesis I	10.4543432667	20.3256320732	5.6186964622	3.7774188499	8.7863964940	5.9465300921	6.0433276274	9.2131441608	5.9223674202	13.6325320801	4.9929139598	16.2482509054	13.0014351469	8.2127843697	4.7398480225	8.9664664577	12.7972986573	11.4479922059	12.1090989212	11.1456671262	17.8547919902	18.6980873817	4.4695074859	5.5274120498	8.5071945016	4.2200174585	6.5708352770	8.0849877314	4.4422543753	10.5149410166	11.6528909799	26.7267476954	15.1344381970	6.3186439924	13.1967619750	7.4285545474	8.9826938056	9.4783495505	7.2163872438	3.4114704774	5.0677261565	3.2755675745	4.3932675011
PWY-6749: CMP-legionaminate biosynthesis I|unclassified	10.4540760772	20.3253698444	5.6186577079	3.7774182756	8.7863511886	5.9465145311	6.0432458064	9.2130977934	5.9223340700	13.6324512394	4.9929084270	16.2481390769	13.0013628284	8.2126776784	4.7397956442	8.9662592107	12.7969143040	11.4479760236	12.1089894100	11.1456294609	17.8545031273	18.6980163670	4.4694948443	5.5273705842	8.5071467456	4.2200172948	6.5707817558	8.0849274966	4.4422523313	10.5147571254	11.6526361147	26.7265406954	15.1343122397	6.3186223074	13.1966354466	7.4284753011	8.9826553897	9.4782782452	7.2162923633	3.4114560459	5.0676782582	3.2755493016	4.3932128952
PWY-6760: xylose degradation III	19.6720250095	47.9927343934	38.3582135719	30.0424922050	65.4378105176	19.5553025184	20.9833067324	33.6906979662	33.9954597886	17.2576759675	28.0431690060	17.1541034326	12.3131229482	21.9431380563	23.2275131005	26.8108098761	27.7200312455	18.8018198890	17.5382651959	15.1006083955	17.7842188514	77.3590157904	22.6312998605	20.9557451617	22.4054135261	18.9913300167	24.5978905678	19.6447977087	29.5881325896	19.2392973437	27.2688229349	34.5146798232	8.7588068717	15.4375735319	29.1187419909	10.9836615788	38.4824219007	17.1670494887	36.2894353212	23.7356798775	32.9984018733	15.0906116498	30.1595224150
PWY-6760: xylose degradation III|unclassified	19.6720250095	47.9927343934	38.3582135719	30.0424922050	65.4378105176	19.5553025184	20.9833067324	33.6906979662	33.9954597886	17.2576759675	28.0431690060	17.1541034326	12.3131229482	21.9431380563	23.2275131005	25.6556269123	27.7200312455	18.8018198890	17.5382651959	15.1006083955	17.7842188514	77.3590157904	22.6312998605	20.9557451617	22.4054135261	18.9913300167	24.5978905678	19.2318485305	29.5881325896	19.2392973437	27.2688229349	34.5146798232	8.7588068717	15.4375735319	29.1187419909	10.9836615788	38.4824219007	17.1670494887	36.2894353212	23.7356798775	32.9984018733	15.0906116498	30.1595224150
PWY-6763: salicortin biosynthesis	0	0	0	0	0	0	0	0	80.0683258918	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	52.9987756670	39.8702656602	0	0	0	0	0	54.7411672964	0	0	0	0	0	0	0	0	0	0	0
PWY-6763: salicortin biosynthesis|unclassified	0	0	0	0	0	0	0	0	79.3712601390	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	52.9987756670	39.8702656602	0	0	0	0	0	54.7411672964	0	0	0	0	0	0	0	0	0	0	0
PWY-6769: rhamnogalacturonan type I degradation I (fungi)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.4680936919	0	0	0	0	0	0	0	0	0	0	0
PWY-6769: rhamnogalacturonan type I degradation I (fungi)|unclassified	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.4680936919	0	0	0	0	0	0	0	0	0	0	0
PWY-6785: hydrogen production VIII	444.1412716836	409.5517874181	152.1085704375	34.2773678801	439.6061379582	280.8525079517	255.8858575445	503.7379618546	229.2857082576	439.5218735494	179.6719603641	486.6095096777	670.1047030190	717.7004157458	363.8265845940	287.3283404640	248.8859280898	448.7460605298	401.0886116341	358.0578890105	269.3145640856	816.2962825794	267.4582299380	254.9862889837	46.9674858555	80.8868755793	227.6240615371	77.8097821145	53.7232396211	175.4719230539	375.4454398791	637.3503475881	277.1442978952	150.6140393168	174.7439470680	208.7754936204	202.6604071294	590.0217677254	802.5533322842	44.1418283047	63.3224270416	16.7831046958	32.1435453091
PWY-6785: hydrogen production VIII|g__Nodularia.s__Nodularia_spumigena	0	0	0	0	0	0	0	3.5433773741	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PWY-6785: hydrogen production VIII|unclassified	442.6003067851	368.8248248305	81.9890466195	34.2773678801	439.2311077960	280.8525079517	228.3366095275	426.5901121528	228.5788347796	438.4835610957	179.6719603641	483.5983721765	664.0043010390	702.6177559209	362.9442347461	283.1260138080	247.0946990657	448.7460605298	399.9593904608	357.9352599141	269.2072327020	815.5326253098	267.1094925188	253.9554655597	46.9393339856	80.8868755793	226.9131398143	77.5766366623	53.7182450285	175.1054007228	375.0139443550	637.1675406273	275.7692280567	150.4919911365	174.6992262147	208.7754936204	202.5093529139	590.0217677254	628.8009608247	44.1223668115	63.2367295295	16.7781545673	32.0519198906
PWY-6787: flavonoid biosynthesis (in equisetum)	0	0	0.6057344437	1.1941448763	0	1.6012643136	0	0.5979578357	0	0	0	1.7264777125	0	0	1.8498014751	0.6519003105	0	0	0	0	0	0	1.9437137711	1.4355086277	0	4.5243423658	0	0.9228675678	4.0956313016	0	0	0	0	0	2.4243182012	1.1238547228	0	0	0	0	0	2.9128707971	1.1048093985
PWY-6787: flavonoid biosynthesis (in equisetum)|unclassified	0	0	0.6057344437	1.1941448763	0	1.6012643136	0	0.5979578357	0	0	0	1.7264777125	0	0	1.8498014751	0.6518952214	0	0	0	0	0	0	1.9437137711	1.4355086277	0	4.5243423658	0	0.9228675678	4.0956313016	0	0	0	0	0	2.4243182012	1.1237248198	0	0	0	0	0	2.9128707971	1.1048093985
PWY-6797: 6-hydroxymethyl-dihydropterin diphosphate biosynthesis II (archaea)	0	0	0	0	0	0	0	0	0	0	0	0	3.6128538446	0	0	0	0	0	3.7300569170	0	4.7302324294	0	0	0	0	2.1706380813	0	0	0	0	0	0	1.2104354230	0	5.4787798848	2.0934268259	0	0	0	0	0	0	0
PWY-6797: 6-hydroxymethyl-dihydropterin diphosphate biosynthesis II (archaea)|unclassified	0	0	0	0	0	0	0	0	0	0	0	0	3.6127061288	0	0	0	0	0	3.7266899412	0	4.7302264046	0	0	0	0	2.1706380813	0	0	0	0	0	0	1.2104340663	0	5.4785438275	2.0933667006	0	0	0	0	0	0	0
PWY-6803: phosphatidylcholine acyl editing	356.3942940961	425.1421586153	37.2124493604	48.4424236218	71.6912211913	224.0676004880	76.9460166867	351.4143303821	111.4224460898	110.4489449764	86.1800791501	349.4750207877	351.8097334653	110.7652807354	191.0067614584	335.2666596003	179.3470470306	252.4814413377	369.0555863838	209.6356188627	220.4947837092	480.5288256320	81.6594667068	25.0848317444	78.7147738809	95.9466289863	23.5681980674	94.3040119429	102.7134503298	288.4780111618	413.5453764353	363.7578111226	368.4562356031	184.8528769878	358.9581499389	357.3133884050	93.2912586712	725.0246539358	205.3725550417	21.1033751354	32.0568902087	9.7397374690	34.5810620966
PWY-6803: phosphatidylcholine acyl editing|g__Achromobacter.s__Achromobacter_xylosoxidans	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.2990674479	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PWY-6803: phosphatidylcholine acyl editing|g__Enterobacter.s__Enterobacter_cloacae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.3869625520	0	0	0	0	0	0	0	0	0	0	0	1.8095453517	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PWY-6803: phosphatidylcholine acyl editing|g__Janthinobacterium.s__Janthinobacterium_lividum	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.5470895378	0	0	0	0	0	0	0	0	0	0	0	0
PWY-6803: phosphatidylcholine acyl editing|g__Psychrobacter.s__Psychrobacter_aquaticus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.8372985418	0	0	0	0	0
PWY-6803: phosphatidylcholine acyl editing|g__Stenotrophomonas.s__Stenotrophomonas_maltophilia	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.2679382909	3.1214455683	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PWY-6803: phosphatidylcholine acyl editing|g__Thiocapsa.s__Thiocapsa_marina	0	0	0	0	0	0	0	15.5111707739	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	23.1264621004	0	0	0	0	0
